Clase,Mensaje
Positivo,"@nomecallomasok @PabloK75 @Aerolineas_AR Yo hace muchos años ya había visto manzanas en EEUU, lógicamente de Río Negro, es un orgullo ver productos nuestros, tan nobles en el exterior!"
Positivo,@PabloK75 @Aerolineas_AR Por esto siempre pienso que debería volver Aerolíneas Cargo
Negativo,"@Aerolineas_AR vuelo que cambió de horario, demasiada gente, soy muy muy muy fobica y la falta de distancia interpersonal me está matando."
Negativo,@Aerolineas_AR hola fue consulta por DM
Negativo,@Aerolineas_AR imposible comunicarme por telefono. Necesito cambiar pasajes y no se puede online.
Negativo,"@DNDConsumidor @Aerolineas_AR @MindeTransporte termine de cargar TODOS LOS DATOS y me dice que la pagina no funciona, parece el colmo, estoy haciendo un reclamo porque @Aerolineas_AR me cag* por una pagina web y @DNDConsumidor me pasa una pagina que no funciona 😡 idem lo de aerolineas"
Negativo,"@Aerolineas_AR necesito saber cómo cambio mis pasajes, si pudiesen responder algunos de mis mails se lo agradecería."
Negativo,@Aerolineas_AR Mentira!!! Ni en esta ni en la otra promoción conseguí esos precios desde Salta.. capaz que no la consideran dentro de Argentina
Negativo,La mina era más mentirosa que promo de @Aerolineas_AR  jaja.. Andaaa!! https://t.co/3YTaoRphpT
Positivo,"@panchada @Aerolineas_AR Ok,, gracias!!👍🖐🖐"
Positivo,@karilamas17 @Aerolineas_AR Siempre mitad d semana es más barato un vuelo y elijo la hora q sale menos q por lo general es o muy temprano o mediodía...
Positivo,"@HCAQUILMES @Aerolineas_AR Haaa, gracias"
Negativo,@Aerolineas_AR me cambiaron el horario de un vuelo y perdí la conexión. Tuve q volver a comprar un pasaje q me salió una fortuna y ustedes no me dan ninguna rtta. a mi solicitud de compensación a este problema que no sólo fue económico sino que me causó inconvenientes adicionales
Negativo,"@Aerolineas_AR me pueden explicar para que ponen una promoción de compras de millas y obtener el doble si cuando lo vas hacer no te deja, lo estoy intentando desde ayer 😡😡😡"
Positivo,"@Polita9999 @adrianratam @Aerolineas_AR Es hernoso, tambien andaba con ganas de volver porque siempre cambia el paisaje, asi que volveré 😀"
Positivo,"@kvivi24 @adrianratam @Aerolineas_AR 👏🏻👏🏻👏🏻 Cataratas que lindo destino, fuí dos veces y volvería mil veces más"
Positivo,"@adrianratam @Aerolineas_AR Espectacular, tenia pasajes saliendo desde foz, estaba esperando algo bueno, con lo que me ahorro me hice de yapa 2 dias en las cataratas antes de partir, eapectacular 💪💪💪"
Positivo,@kvivi24 @Aerolineas_AR Vaamooooosss Vivi!!!!
Negativo,@Aerolineas_AR Verso
Positivo,@alebresky @Aerolineas_AR @mauriciomacri 💪👏👏👏👏👏💙VAYAMOS ARGENTIDA CARAJO💪💙💙💙
